,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
68,Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000.0,78750.0,0.35,Outlet
69,Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000.0,110250.0,0.35,Outlet
70,Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
71,Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000.0,110250.0,0.45,Outlet
72,Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40.0,550,220000.0,66000.0,0.3,Outlet
73,Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
74,Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet
75,Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500.0,104125.0,0.35,Outlet
76,Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35.0,675,236250.0,82688.0,0.35,Outlet
77,Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750.0,98438.0,0.45,Outlet
78,Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40.0,500,200000.0,60000.0,0.3,Outlet
79,Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
80,Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30.0,875,262500.0,91875.0,0.35,Outlet
81,Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000.0,122500.0,0.35,Outlet
82,Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
83,Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000.0,108000.0,0.45,Outlet
84,Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45.0,500,225000.0,67500.0,0.3,Outlet
85,Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet
86,Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30.0,900,270000.0,94500.0,0.35,Outlet
87,Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000.0,126000.0,0.35,Outlet
88,Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35.0,725,253750.0,88813.0,0.35,Outlet
89,Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250000.0,112500.0,0.45,Outlet
90,Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45.0,525,236250.0,70875.0,0.3,Outlet
91,Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40.0,800,320000.0,160000.0,0.5,Outlet
92,Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30.0,925,277500.0,97125.0,0.35,Outlet
93,Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000.0,129500.0,0.35,Outlet
94,Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35.0,775,271250.0,94938.0,0.35,Outlet
95,Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
96,Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45.0,600,270000.0,81000.0,0.3,Outlet
97,Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40.0,950,380000.0,190000.0,0.5,Outlet
98,Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
99,Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
100,Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40.0,800,320000.0,112000.0,0.35,Outlet
101,Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000.0,135000.0,0.45,Outlet
102,Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
103,Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50.0,1000,500000.0,250000.0,0.5,Outlet
104,Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
105,Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
106,Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
107,Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
108,Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45.0,700,315000.0,94500.0,0.3,Outlet
109,Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50.0,975,487500.0,243750.0,0.5,Outlet
110,Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40.0,925,370000.0,129500.0,0.35,Outlet
111,Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250.0,145688.0,0.35,Outlet
112,Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
113,Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000.0,117000.0,0.45,Outlet
114,Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
115,Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50.0,900,450000.0,225000.0,0.5,Outlet
116,Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
117,Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
118,Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
119,Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,140625.0,0.45,Outlet
120,Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45.0,625,281250.0,84375.0,0.3,Outlet
121,Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55.0,850,467500.0,233750.0,0.5,Outlet
122,Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45.0,800,360000.0,126000.0,0.35,Outlet
123,Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000.0,126000.0,0.35,Outlet
124,Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50.0,750,375000.0,131250.0,0.35,Outlet
125,Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000.0,135000.0,0.45,Outlet
126,Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45.0,575,258750.0,77625.0,0.3,Outlet
127,Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55.0,750,412500.0,206250.0,0.5,Outlet
128,Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
129,Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
130,Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50.0,825,412500.0,144375.0,0.35,Outlet
131,Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500.0,151875.0,0.45,Outlet
132,Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
133,Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55.0,850,467500.0,233750.0,0.5,Outlet
134,Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
135,Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
136,Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
137,Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000.0,157500.0,0.45,Outlet
138,Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
139,Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55.0,900,495000.0,247500.0,0.5,Outlet
140,West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40.0,775,310000.0,108500.0,0.35,Outlet
141,West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50.0,775,387500.0,77500.0,0.2,Outlet
142,West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50.0,775,387500.0,135625.0,0.35,Outlet
143,West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,93750.0,0.3,Outlet
144,West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55.0,575,316250.0,158125.0,0.5,Outlet
145,West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50.0,775,387500.0,58125.0,0.15,Outlet
146,West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.0,0.35,Outlet
147,West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500.0,72500.0,0.2,Outlet
148,West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50.0,725,362500.0,126875.0,0.35,Outlet
149,West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500.0,86250.0,0.3,Outlet
150,West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55.0,500,275000.0,137500.0,0.5,Outlet
151,West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50.0,700,350000.0,52500.0,0.15,Outlet
152,West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
153,West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000.0,84000.0,0.2,Outlet
154,West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
155,West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000.0,108000.0,0.3,Outlet
156,West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65.0,500,325000.0,162500.0,0.5,Outlet
157,West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60.0,700,420000.0,63000.0,0.15,Outlet
158,West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60.0,875,525000.0,183750.0,0.35,Outlet
159,West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750.0,87750.0,0.2,Outlet
160,West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65.0,725,471250.0,164938.0,0.35,Outlet
161,West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000.0,112500.0,0.3,Outlet
162,West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65.0,525,341250.0,170625.0,0.5,Outlet
163,West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80.0,700,560000.0,84000.0,0.15,Outlet
164,West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60.0,900,540000.0,216000.0,0.4,Outlet
165,West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500.0,121875.0,0.25,Outlet
166,West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65.0,750,487500.0,195000.0,0.4,Outlet
167,West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000.0,136500.0,0.35,Outlet
168,West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65.0,550,357500.0,196625.0,0.55,Outlet
169,West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,116000.0,0.2,Outlet
170,West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60.0,975,585000.0,234000.0,0.4,Outlet
171,West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250.0,134063.0,0.25,Outlet
172,West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,214500.0,0.4,Outlet
173,West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
174,West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65.0,575,373750.0,205563.0,0.55,Outlet
175,West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80.0,875,700000.0,140000.0,0.2,Outlet
176,West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60.0,1025,615000.0,215250.0,0.35,Outlet
177,West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750.0,113750.0,0.2,Outlet
178,West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,187688.0,0.35,Outlet
179,West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000.0,130500.0,0.3,Outlet
180,West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65.0,775,503750.0,251875.0,0.5,Outlet
181,West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80.0,775,620000.0,93000.0,0.15,Outlet
182,West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65.0,975,633750.0,221813.0,0.35,Outlet
183,West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70.0,925,647500.0,129500.0,0.2,Outlet
184,West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65.0,800,520000.0,182000.0,0.35,Outlet
185,West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65.0,750,487500.0,146250.0,0.3,Outlet
186,West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75.0,750,562500.0,281250.0,0.5,Outlet
187,West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,87000.0,0.15,Outlet
188,West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55.0,925,508750.0,152625.0,0.3,Outlet
189,West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,925,555000.0,83250.0,0.15,Outlet
190,West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55.0,775,426250.0,127875.0,0.3,Outlet
191,West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,725,398750.0,99688.0,0.25,Outlet
192,West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65.0,725,471250.0,212063.0,0.45,Outlet
193,West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
194,West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55.0,875,481250.0,144375.0,0.3,Outlet
195,West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,875,525000.0,78750.0,0.15,Outlet
196,West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55.0,700,385000.0,115500.0,0.3,Outlet
197,West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,675,371250.0,92813.0,0.25,Outlet
198,West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.0,0.45,Outlet
199,West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70.0,700,490000.0,49000.0,0.1,Outlet
200,West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55.0,875,481250.0,144375.0,0.3,Outlet
201,West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,875,525000.0,78750.0,0.15,Outlet
202,West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55.0,725,398750.0,119625.0,0.3,Outlet
203,West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,700,385000.0,96250.0,0.25,Outlet
204,West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.0,0.45,Outlet
205,West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
206,West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55.0,975,536250.0,160875.0,0.3,Outlet
207,West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,975,585000.0,87750.0,0.15,Outlet
208,West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55.0,775,426250.0,127875.0,0.3,Outlet
209,West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,775,426250.0,106563.0,0.25,Outlet
210,West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65.0,700,455000.0,204750.0,0.45,Outlet
211,West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70.0,800,560000.0,56000.0,0.1,Outlet
212,Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35.0,700,245000.0,98000.0,0.4,Outlet
213,Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45.0,700,315000.0,78750.0,0.25,Outlet
214,Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45.0,700,315000.0,126000.0,0.4,Outlet
215,Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
