id,month_year,region,site_name,work_site_status,kpi_source,lob,kpi_name_w_subtypes,numerator,denominator,kpi_value,goal,kpi_attainment,goal_type,kpi_unit_of_measure,kpi_attainment_v2,kpi_value_vs_goal,kpi_value2,kpi_value_2,month,year
19,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Precision,918.00,990.00,0.93,0.92,1.0,higher is better,%,1,0.01,0.93,0.93,2,2023
20,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Accuracy,"108,527.00","119,193.00",0.91,0.87,1.0,higher is better,%,1,0.04,0.91,0.91,2,2023
21,2023MAR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Accuracy,"81,772.00","89,459.00",0.91,0.87,1.0,higher is better,%,1,0.04,0.91,0.91,3,2023
22,2023MAR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Accuracy,"3,498.00","3,781.00",0.93,0.87,1.0,higher is better,%,1,0.06,0.93,0.93,3,2023
23,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Accuracy,107.00,135.00,0.79,0.87,0.0,higher is better,%,0,-0.08,0.79,0.79,3,2023
24,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Accuracy,203.00,217.00,0.94,0.87,1.0,higher is better,%,1,0.07,0.94,0.94,3,2023
25,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Accuracy,"117,295.00","126,905.00",0.92,0.87,1.0,higher is better,%,1,0.05,0.92,0.92,3,2023
26,2023APR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Accuracy,"32,337.00","35,191.00",0.92,0.87,1.0,higher is better,%,1,0.05,0.92,0.92,4,2023
27,2023APR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Accuracy,"1,582.00","1,704.00",0.93,0.87,1.0,higher is better,%,1,0.06,0.93,0.93,4,2023
28,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Accuracy,89.00,98.00,0.91,0.87,1.0,higher is better,%,1,0.04,0.91,0.91,4,2023
29,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Accuracy,"65,540.00","70,061.00",0.94,0.87,1.0,higher is better,%,1,0.07,0.94,0.94,4,2023
30,2023JAN,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Precision,"23,215.00","24,095.00",0.96,0.92,1.0,higher is better,%,1,0.04,0.96,0.96,1,2023
31,2023JAN,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Precision,"1,035.00","1,080.00",0.96,0.92,1.0,higher is better,%,1,0.04,0.96,0.96,1,2023
32,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Precision,62.00,66.00,0.94,0.92,1.0,higher is better,%,1,0.02,0.94,0.94,1,2023
33,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Precision,"40,647.00","42,354.00",0.96,0.92,1.0,higher is better,%,1,0.04,0.96,0.96,1,2023
34,2023FEB,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Precision,"22,582.00","23,835.00",0.95,0.92,1.0,higher is better,%,1,0.03,0.95,0.95,2,2023
35,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Recall,918.00,"1,098.00",0.84,0.85,0.0,higher is better,%,0,-0.01,0.84,0.84,2,2023
36,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Precision,303.00,344.00,0.88,0.92,0.0,higher is better,%,0,-0.04,0.88,0.88,2,2023
37,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier PDO,ERR,Accuracy,170.00,171.00,0.99,0.9,1.0,higher is better,%,1,0.09,0.99,0.99,2,2023
38,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Precision,"41,575.00","44,667.00",0.93,0.92,1.0,higher is better,%,1,0.01,0.93,0.93,2,2023
39,2023MAR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Precision,"27,704.00","28,922.00",0.96,0.92,1.0,higher is better,%,1,0.04,0.96,0.96,3,2023
40,2023MAR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Precision,"1,031.00","1,086.00",0.95,0.92,1.0,higher is better,%,1,0.03,0.95,0.95,3,2023
41,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Precision,34.00,40.00,0.85,0.92,0.0,higher is better,%,0,-0.07,0.85,0.85,3,2023
42,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Precision,71.00,75.00,0.95,0.92,1.0,higher is better,%,1,0.03,0.95,0.95,3,2023
43,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Precision,"44,867.00","47,584.00",0.94,0.92,1.0,higher is better,%,1,0.02,0.94,0.94,3,2023
44,2023APR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Precision,"9,165.00","9,513.00",0.96,0.92,1.0,higher is better,%,1,0.04,0.96,0.96,4,2023
45,2023APR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Precision,359.00,384.00,0.93,0.92,1.0,higher is better,%,1,0.01,0.93,0.93,4,2023
46,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Precision,34.00,37.00,0.92,0.92,0.0,higher is better,%,0,-0.0,0.92,0.92,4,2023
47,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Precision,"24,201.00","25,727.00",0.94,0.92,1.0,higher is better,%,1,0.02,0.94,0.94,4,2023
48,2023JAN,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Recall,"23,215.00","26,463.00",0.88,0.85,1.0,higher is better,%,1,0.03,0.88,0.88,1,2023
49,2023JAN,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Recall,"1,035.00","1,219.00",0.85,0.85,0.0,higher is better,%,0,-0.0,0.85,0.85,1,2023
50,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Recall,62.00,70.00,0.89,0.85,1.0,higher is better,%,1,0.04,0.89,0.89,1,2023
51,2023JAN,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Recall,"40,647.00","45,226.00",0.9,0.85,1.0,higher is better,%,1,0.05,0.90,0.90,1,2023
52,2023FEB,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Recall,"22,582.00","26,279.00",0.86,0.85,1.0,higher is better,%,1,0.01,0.86,0.86,2,2023
53,2023FEB,IN,IND - Indore City - Rangreza,Unknown,Frontier PDO,ERR,Accuracy,166.00,166.00,1.0,0.9,1.0,higher is better,%,1,0.1,1.00,1.00,2,2023
54,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Recall,303.00,435.00,0.7,0.85,0.0,higher is better,%,0,-0.15,0.70,0.70,2,2023
55,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier PDO,FB Shopping Visual Search,Accuracy,619.00,650.00,0.95,0.9,1.0,higher is better,%,1,0.05,0.95,0.95,2,2023
56,2023FEB,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Recall,"41,575.00","46,761.00",0.89,0.85,1.0,higher is better,%,1,0.04,0.89,0.89,2,2023
57,2023MAR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Recall,"27,704.00","31,706.00",0.87,0.85,1.0,higher is better,%,1,0.02,0.87,0.87,3,2023
58,2023MAR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Recall,"1,031.00","1,187.00",0.87,0.85,1.0,higher is better,%,1,0.02,0.87,0.87,3,2023
59,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Current WFH,Frontier BI,BI - Political,Recall,34.00,48.00,0.71,0.85,0.0,higher is better,%,0,-0.14,0.71,0.71,3,2023
60,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Recall,71.00,79.00,0.9,0.85,1.0,higher is better,%,1,0.05,0.90,0.90,3,2023
61,2023MAR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Recall,"44,867.00","49,069.00",0.91,0.85,1.0,higher is better,%,1,0.06,0.91,0.91,3,2023
62,2023APR,IN,IND - Indore City - Rangreza,Current WFH,Frontier BI,BI - Political,Recall,"9,165.00","10,754.00",0.85,0.85,1.0,higher is better,%,1,0.0,0.85,0.85,4,2023
63,2023APR,IN,IND - Indore City - Rangreza,Onsite,Frontier BI,BI - Political,Recall,359.00,419.00,0.86,0.85,1.0,higher is better,%,1,0.01,0.86,0.86,4,2023
64,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Onsite,Frontier BI,BI - Political,Recall,34.00,39.00,0.87,0.85,1.0,higher is better,%,1,0.02,0.87,0.87,4,2023
65,2023APR,SEA,PHL - Quezon City - Chateau Ridiculous,Permanent WFH,Frontier BI,BI - Political,Recall,"24,201.00","26,272.00",0.92,0.85,1.0,higher is better,%,1,0.07,0.92,0.92,4,2023
66,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Precision,"3,175.00","3,319.00",0.96,0.89,1.0,higher is better,%,1,0.07,0.96,0.96,1,2023
67,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier PDO,FB Shopping Visual Search,Average Handle Time,"330,237.55","10,412.00",0.32,0.35,1.0,lower is better,.,1,3.28,31.72,31.72,2,2023
68,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Precision,"2,516.00","2,600.00",0.97,0.89,1.0,higher is better,%,1,0.08,0.97,0.97,3,2023
69,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Precision,"2,479.00","2,605.00",0.95,0.89,1.0,higher is better,%,1,0.06,0.95,0.95,4,2023
70,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Precision,408.00,420.00,0.97,0.89,1.0,higher is better,%,1,0.08,0.97,0.97,5,2023
71,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Recall,"3,175.00","3,391.00",0.94,0.85,1.0,higher is better,%,1,0.09,0.94,0.94,1,2023
72,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier PDO,Reels Content Moderation-Watchbait,Average Handle Time,"156,372.18",389.00,4.02,1.0,0.0,lower is better,.,0,-301.99,401.99,401.99,2,2023
73,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Recall,"2,516.00","2,683.00",0.94,0.85,1.0,higher is better,%,1,0.09,0.94,0.94,3,2023
74,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Recall,"2,479.00","2,696.00",0.92,0.85,1.0,higher is better,%,1,0.07,0.92,0.92,4,2023
75,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Recall,408.00,458.00,0.89,0.85,1.0,higher is better,%,1,0.04,0.89,0.89,5,2023
76,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Reviewer Reason Accuracy,"8,677.00","9,047.00",0.96,0.84,1.0,higher is better,%,1,0.12,0.96,0.96,1,2023
77,2023FEB,IN,IND - Indore City - Rangreza,Onsite,Frontier PDO,Speech Transcription,Accuracy,"7,168.40","7,242.00",0.99,0.9,1.0,higher is better,%,1,0.09,0.99,0.99,2,2023
78,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Reviewer Reason Accuracy,"5,989.00","6,257.00",0.96,0.84,1.0,higher is better,%,1,0.12,0.96,0.96,3,2023
79,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Reviewer Reason Accuracy,"5,865.00","6,216.00",0.94,0.84,1.0,higher is better,%,1,0.1,0.94,0.94,4,2023
80,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Reviewer Reason Accuracy,"1,064.00","1,127.00",0.94,0.84,1.0,higher is better,%,1,0.1,0.94,0.94,5,2023
81,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Australasia,Precision,112.00,113.00,0.99,0.89,1.0,higher is better,%,1,0.1,0.99,0.99,1,2023
82,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Precision,"5,557.00","5,859.00",0.95,0.89,1.0,higher is better,%,1,0.06,0.95,0.95,1,2023
83,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Precision,"2,969.00","3,062.00",0.97,0.89,1.0,higher is better,%,1,0.08,0.97,0.97,2,2023
84,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Precision,"1,889.00","2,016.00",0.94,0.89,1.0,higher is better,%,1,0.05,0.94,0.94,3,2023
85,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Precision,"1,798.00","1,859.00",0.97,0.89,1.0,higher is better,%,1,0.08,0.97,0.97,4,2023
86,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Precision,225.00,238.00,0.95,0.89,1.0,higher is better,%,1,0.06,0.95,0.95,5,2023
87,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Australasia,Recall,112.00,115.00,0.97,0.85,1.0,higher is better,%,1,0.12,0.97,0.97,1,2023
88,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Recall,"5,557.00","6,036.00",0.92,0.85,1.0,higher is better,%,1,0.07,0.92,0.92,1,2023
89,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Recall,"2,969.00","3,089.00",0.96,0.85,1.0,higher is better,%,1,0.11,0.96,0.96,2,2023
90,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Recall,"1,889.00","1,977.00",0.96,0.85,1.0,higher is better,%,1,0.11,0.96,0.96,3,2023
91,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Recall,"1,798.00","1,875.00",0.96,0.85,1.0,higher is better,%,1,0.11,0.96,0.96,4,2023
92,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Recall,225.00,252.00,0.89,0.85,1.0,higher is better,%,1,0.04,0.89,0.89,5,2023
93,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Australasia,Reviewer Reason Accuracy,187.00,194.00,0.96,0.84,1.0,higher is better,%,1,0.12,0.96,0.96,1,2023
94,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Reviewer Reason Accuracy,"9,648.00","10,633.00",0.91,0.84,1.0,higher is better,%,1,0.07,0.91,0.91,1,2023
95,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Agnostic SSI,Reviewer Reason Accuracy,"6,871.00","7,124.00",0.96,0.84,1.0,higher is better,%,1,0.12,0.96,0.96,2,2023
96,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Reviewer Reason Accuracy,"3,202.00","3,478.00",0.92,0.84,1.0,higher is better,%,1,0.08,0.92,0.92,3,2023
97,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Reviewer Reason Accuracy,"2,841.00","3,027.00",0.94,0.84,1.0,higher is better,%,1,0.1,0.94,0.94,4,2023
98,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Reviewer Reason Accuracy,473.00,523.00,0.9,0.84,1.0,higher is better,%,1,0.06,0.90,0.90,5,2023
99,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Accuracy,"31,068.00","31,663.00",0.98,0.91,1.0,higher is better,%,1,0.07,0.98,0.98,1,2023
100,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Accuracy,44.00,45.00,0.98,0.91,1.0,higher is better,%,1,0.07,0.98,0.98,4,2023
101,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Accuracy,52.00,52.00,1.0,0.91,1.0,higher is better,%,1,0.09,1.00,1.00,5,2023
102,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Average Handle Time,"16,003,367.30","749,336.00",0.21,0.35,1.0,lower is better,.,1,13.64,21.36,21.36,1,2023
103,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Precision,"2,003.00","2,110.00",0.95,0.89,1.0,higher is better,%,1,0.06,0.95,0.95,2,2023
104,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Average Handle Time,"14,466,350.64","753,341.00",0.19,0.35,1.0,lower is better,.,1,15.8,19.20,19.20,3,2023
105,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Average Handle Time,"13,549,331.19","693,251.00",0.2,0.35,1.0,lower is better,.,1,15.46,19.54,19.54,4,2023
106,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Average Handle Time,"929,817.57","48,326.00",0.19,0.35,1.0,lower is better,.,1,15.76,19.24,19.24,5,2023
107,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Average Handle Time,"14,511,912.70","258,893.00",0.56,0.6,1.0,lower is better,.,1,3.95,56.05,56.05,1,2023
108,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Recall,"2,003.00","2,131.00",0.94,0.85,1.0,higher is better,%,1,0.09,0.94,0.94,2,2023
109,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Average Handle Time,"13,712,083.77","266,565.00",0.51,0.6,1.0,lower is better,.,1,8.56,51.44,51.44,3,2023
110,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Average Handle Time,"13,193,474.40","246,429.00",0.54,0.6,1.0,lower is better,.,1,6.46,53.54,53.54,4,2023
111,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Average Handle Time,"778,576.54","15,975.00",0.49,0.6,1.0,lower is better,.,1,11.26,48.74,48.74,5,2023
112,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Reviewer Reason Accuracy,"4,604.00","5,052.00",0.91,0.84,1.0,higher is better,%,1,0.07,0.91,0.91,4,2023
113,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Borderline Hostile Speech,Reviewer Reason Accuracy,259.00,298.00,0.87,0.84,1.0,higher is better,%,1,0.03,0.87,0.87,5,2023
114,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Accuracy,"13,967.00","14,008.00",1.0,0.95,1.0,higher is better,%,1,0.05,1.00,1.00,1,2023
115,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Accuracy,"12,744.00","13,047.00",0.98,0.95,1.0,higher is better,%,1,0.03,0.98,0.98,4,2023
116,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Accuracy,"2,024.00","2,063.00",0.98,0.95,1.0,higher is better,%,1,0.03,0.98,0.98,5,2023
117,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Average Handle Time,"10,493,264.06","247,025.00",0.42,0.55,1.0,lower is better,.,1,12.52,42.48,42.48,1,2023
118,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Australasia,Reviewer Reason Accuracy,"3,246.00","3,598.00",0.9,0.84,1.0,higher is better,%,1,0.06,0.90,0.90,2,2023
119,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Average Handle Time,"10,304,379.96","229,930.00",0.45,0.55,1.0,lower is better,.,1,10.18,44.82,44.82,3,2023
120,2023APR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Average Handle Time,"9,077,853.24","214,971.00",0.42,0.55,1.0,lower is better,.,1,12.77,42.23,42.23,4,2023
121,2023MAY,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,CIS,Average Handle Time,"941,554.22","24,122.00",0.39,0.55,1.0,lower is better,.,1,15.97,39.03,39.03,5,2023
122,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Content Security,Precision,146.00,160.00,0.91,0.89,1.0,higher is better,%,1,0.02,0.91,0.91,1,2023
123,2023JAN,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Content Security,Precision,"35,878.00","38,702.00",0.93,0.89,1.0,higher is better,%,1,0.04,0.93,0.93,1,2023
124,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Content Security,Precision,85.00,89.00,0.96,0.89,1.0,higher is better,%,1,0.07,0.96,0.96,2,2023
125,2023FEB,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,B&H Info First,Average Handle Time,"14,359,443.62","656,528.00",0.22,0.35,1.0,lower is better,.,1,13.13,21.87,21.87,2,2023
126,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Current WFH,Frontier CO,Content Security,Precision,81.00,89.00,0.91,0.89,1.0,higher is better,%,1,0.02,0.91,0.91,3,2023
127,2023MAR,SEA,PHL - Antipolo - Lizzy's Watchtower,Onsite,Frontier CO,Content Security,Precision,"28,332.00","31,034.00",0.91,0.89,1.0,higher is better,%,1,0.02,0.91,0.91,3,2023
